template_id,scenario_type,lifecycle_phase,work_type,task_name,default_annual_volume,advisor_hours_per_unit,helpdesk_hours_per_unit,specialist_hours_per_unit,pm_hours_per_unit,manager_hours_per_unit,default_confidence,notes
TEMP-001,Introduce software,Pilot,Internal learning,Learn software internally,6,4,0,2,0,0,Medium,"Internal exploration and team learning."
TEMP-002,Introduce software,Pilot,Team training,Train support team,3,5,0,2,0,0,Medium,"Train support staff before pilot expansion."
TEMP-003,Introduce software,Pilot,Consultation,Run pilot consultations,18,2,0,0.5,0,0,Medium,"Consultation support for pilot users."
TEMP-004,Introduce software,Pilot,Accessibility review,Complete accessibility check,2,2,0,3,0,1,Medium,"Accessibility checks before broader use."
TEMP-005,Introduce software,Pilot,Reporting,Write pilot report,1,18,0,1,2,2,Medium,"Pilot outcomes, risks, and recommendations."
TEMP-006,Introduce software,Implementation,Project management,Manage implementation work,1,20,0,4,140,24,Low,"Coordination, planning, issue management, and reporting."
TEMP-007,Introduce software,Implementation,User training,Train teaching staff,8,4,0,0,0,0,Medium,"Initial staff training sessions."
TEMP-008,Introduce software,Implementation,Documentation,Create staff guide,3,18,0,1,0,0,High,"Staff-facing guide creation."
TEMP-009,Introduce software,Implementation,Documentation,Create student guide,2,14,0,1,0,0,High,"Student-facing quick-start guide."
TEMP-010,Introduce software,Implementation,Helpdesk support,Early support tickets,80,0.15,0.8,0.1,0,0,Medium,"Early tickets and escalation load."
TEMP-011,Introduce software,Implementation,Vendor management,Vendor meetings,12,1,0,1.5,0,0.5,Medium,"Vendor meetings during implementation."
TEMP-012,Introduce software,Implementation,Vendor issue resolution,Resolve vendor bug,10,1.5,0.5,2.5,0,0,Low,"Vendor bug triage and resolution."
TEMP-013,Introduce software,Implementation,Internal configuration,Resolve internal configuration issue,16,1,0.25,3,0,0,Low,"Local configuration and workflow tuning."
TEMP-014,Introduce software,Implementation,Integration support,Review integration requirements,4,0,0,10,1,0,Medium,"Integration discovery and coordination."
TEMP-015,Introduce software,Implementation,Procurement,Complete procurement process,1,8,0,0,6,2,Medium,"Procurement process effort."
TEMP-016,Introduce software,Implementation,Legal/finance,Complete legal review,1,6,0,0,4,2,Low,"Legal, privacy, finance, or payment checks."
TEMP-017,Introduce software,Implementation,Communications,Prepare communications,6,4,0,0,1,0.5,Medium,"Launch communications and impact messages."
TEMP-018,Introduce software,Implementation,Governance,Write business case,1,20,0,1,4,5,Medium,"Governance and decision support."
TEMP-019,Introduce software,BAU support,Recurring BAU support,Handle recurring support tickets,180,0.1,0.75,0.15,0,0,Medium,"Recurring support ticket load."
TEMP-020,Introduce software,BAU support,User training,Run annual training,10,3,0,0,0,0,Medium,"Annual user training demand."
TEMP-021,Introduce software,BAU support,Documentation,Maintain guides,12,4,0,0.5,0,0,Medium,"Recurring guide updates."
TEMP-022,Introduce software,BAU support,Vendor management,Vendor operational meetings,10,1,0,1,0,0.5,Medium,"Recurring vendor meetings."
TEMP-023,Introduce software,BAU support,Internal configuration,Configuration support,10,1,0.25,2,0,0,Medium,"Recurring configuration support."
TEMP-024,Introduce software,BAU support,Contract management,Manage contract,4,1,0,0,0,4,Medium,"Contract and vendor agreement management."
TEMP-025,Introduce software,Major update,User training,Update staff training,4,5,0,1,0,0,Medium,"Training updates for major release."
TEMP-026,Introduce software,Major update,Documentation,Update guides,8,4,0,1,0,0,Medium,"Documentation updates for major release."
TEMP-027,Introduce software,Major update,Communications,Prepare release communications,5,3,0,0,1,0.5,Medium,"Release communication and impact messages."
TEMP-028,Introduce software,Major update,Vendor issue resolution,Resolve release defects,8,1.5,0.5,3,0,0,Low,"Major release defects and escalations."
TEMP-029,Remove software,Transition,Transition support,Support transition period,6,8,2,2,2,1,Medium,"Support users during retirement."
TEMP-030,Decommission tool,Retirement,Decommissioning,Prepare project closure report,1,8,0,2,8,3,Medium,"Closure report and decision record."
TEMP-031,Decommission tool,Retirement,Communications,Retirement communications,5,3,0,0,1,0.5,Medium,"Comms for retirement and replacement pathways."
TEMP-032,Decommission tool,Retirement,Documentation,Archive or redirect guides,4,3,0,0.5,0,0,Medium,"Guide clean-up and redirection."
TEMP-033,Consolidate software,Transition,Transition support,Support transition period,8,8,2,2,2,1,Medium,"Transition support during consolidation."
TEMP-034,Consolidate software,Transition,User training,Train users on replacement workflow,8,4,0,0.5,0,0,Medium,"Training for replacement workflow."
TEMP-035,Consolidate software,Transition,Documentation,Rewrite guides for consolidated platform,6,5,0,1,0,0,Medium,"Guide consolidation."
TEMP-036,Consolidate software,Transition,Communications,Prepare consolidation communications,5,4,0,0,1,0.5,Medium,"Communication and change support."
TEMP-037,Project to BAU,BAU support,Recurring BAU support,Handle recurring support tickets,120,0.1,0.75,0.15,0,0,Medium,"Annual support ticket estimate after project."
TEMP-038,Project to BAU,BAU support,Vendor management,Vendor operational meetings,8,1,0,1,0,0.5,Medium,"Ongoing vendor management."
TEMP-039,Project to BAU,BAU support,Documentation,Maintain guides,8,4,0,0.5,0,0,Medium,"Ongoing guide maintenance."
TEMP-040,Project to BAU,BAU support,User training,Annual training sessions,6,3,0,0,0,0,Medium,"Recurring annual training."
TEMP-041,Project to BAU,BAU support,Internal configuration,Recurring configuration support,8,1,0.25,2,0,0,Medium,"Ongoing configuration support."
TEMP-042,Demand spike,Transition,Helpdesk support,Seasonal support tickets,100,0.1,0.8,0.1,0,0,Medium,"Template reference for peak support demand."
