workload_id,software_id,software_name,work_type,work_group,annual_volume,advisor_hours_per_unit,helpdesk_hours_per_unit,specialist_hours_per_unit,pm_hours_per_unit,manager_hours_per_unit,advisor_hours_total,helpdesk_hours_total,specialist_hours_total,pm_hours_total,manager_hours_total,confidence,notes
WL-001,SW-001,Learning Hub,User training,BAU,80,4,0,0,0,0,320,0,0,0,0,High,"Recurring training for synthetic core learning platform use."
WL-002,SW-001,Learning Hub,Consultation,BAU,180,2,0,0,0,0,360,0,0,0,0,High,"Teaching staff consultations."
WL-003,SW-001,Learning Hub,Documentation,BAU,48,4,0,0.5,0,0,192,0,24,0,0,Medium,"Staff and learner guide updates."
WL-004,SW-001,Learning Hub,Helpdesk support,BAU,420,0.15,0.85,0.1,0,0,63,357,42,0,0,High,"Tickets and escalations."
WL-005,SW-001,Learning Hub,Vendor issue resolution,BAU,18,1.5,0.5,2.5,0,0,27,9,45,0,0,Medium,"Vendor bug triage and follow-up."
WL-006,SW-001,Learning Hub,Integration support,BAU,12,0,0,8,0,0,0,0,96,0,0,Medium,"Integration and specialist support."
WL-007,SW-001,Learning Hub,Governance,BAU,8,2,0,1,0,4,16,0,8,0,32,Medium,"Governance and service risk discussions."
WL-008,SW-002,Assessment Portal,User training,BAU,42,3,0,0,0,0,126,0,0,0,0,High,"Assessment platform training."
WL-009,SW-002,Assessment Portal,Helpdesk support,BAU,320,0.1,0.75,0.15,0,0,32,240,48,0,0,Medium,"Exam and assessment support tickets."
WL-010,SW-002,Assessment Portal,Accessibility review,BAU,10,2,0,2,0,0.5,20,0,20,0,5,Medium,"Accessibility and assessment checks."
WL-011,SW-002,Assessment Portal,Vendor management,BAU,18,1,0,1,0,0.5,18,0,18,0,9,Medium,"Vendor meetings and operational follow-up."
WL-012,SW-003,Marking Workflow,Consultation,BAU,65,2,0,0,0,0,130,0,0,0,0,Medium,"Discipline-specific consultation support."
WL-013,SW-003,Marking Workflow,Documentation,BAU,12,4,0,1,0,0,48,0,12,0,0,Medium,"Guide maintenance."
WL-014,SW-003,Marking Workflow,Helpdesk support,BAU,110,0.1,0.7,0.2,0,0,11,77,22,0,0,Medium,"Support ticket estimate."
WL-015,SW-003,Marking Workflow,Vendor issue resolution,BAU,8,1,0.5,2,0,0,8,4,16,0,0,Low,"Bug handling estimate."
WL-016,SW-004,Interactive Content Tool,User training,BAU,16,3,0,0,0,0,48,0,0,0,0,High,"Interactive content training."
WL-017,SW-004,Interactive Content Tool,Consultation,BAU,32,1.5,0,0,0,0,48,0,0,0,0,Medium,"Learning design consultation."
WL-018,SW-004,Interactive Content Tool,Documentation,BAU,8,3,0,0,0,0,24,0,0,0,0,Medium,"Guide updates."
WL-019,SW-005,Collaboration Space,Consultation,BAU,40,1.2,0,0,0,0,48,0,0,0,0,Medium,"Learning-use advisory consultations."
WL-020,SW-005,Collaboration Space,User training,BAU,12,2,0,0,0,0,24,0,0,0,0,High,"Light-touch staff training."
WL-021,SW-005,Collaboration Space,Helpdesk support,BAU,180,0.05,0.45,0.05,0,0,9,81,9,0,0,Medium,"Escalated learning-use support."
WL-022,SW-006,Pathways Project,Project management,Project,1,20,0,4,160,24,20,0,4,160,24,Low,"Implementation coordination."
WL-023,SW-006,Pathways Project,Internal learning,Project,6,5,0,2,0,0,30,0,12,0,0,Medium,"Team learning and discovery."
WL-024,SW-006,Pathways Project,Documentation,Project,8,5,0,1,0,0,40,0,8,0,0,Medium,"Implementation documentation."
WL-025,SW-006,Pathways Project,Communications,Change,6,4,0,0,1,0.5,24,0,0,6,3,Medium,"Change communications."
WL-026,SW-007,Placement Tracker,Consultation,Project,24,1.5,0,1,0,0,36,0,24,0,0,Low,"Pilot consultation estimate."
WL-027,SW-007,Placement Tracker,Internal configuration,Project,10,1,0,4,0,0,10,0,40,0,0,Low,"Pilot configuration estimate."
WL-028,SW-007,Placement Tracker,Vendor management,Project,8,1,0,1.5,0,0.5,8,0,12,0,4,Medium,"Pilot vendor meetings."
WL-029,SW-008,Practical Exam Tool,Procurement,Project,1,8,0,0,8,2,8,0,0,8,2,Low,"Proposed procurement work."
WL-030,SW-008,Practical Exam Tool,Legal/finance,Project,1,6,0,0,4,2,6,0,0,4,2,Low,"Proposed legal and finance work."
WL-031,SW-009,Legacy Quiz Tool,Helpdesk support,BAU,70,0.05,0.5,0.1,0,0,3.5,35,7,0,0,Medium,"Declining but still present support."
WL-032,SW-009,Legacy Quiz Tool,Decommissioning,Change,4,5,0,2,2,1,20,0,8,8,4,Low,"Retirement planning."
WL-033,SW-010,Small Tools Bundle,Helpdesk support,BAU,1800,0.05,0.8,0.05,0,0,90,1440,90,0,0,Medium,"Bundled support tickets."
WL-034,SW-010,Small Tools Bundle,Recurring BAU support,BAU,156,2,0,1,0,0,312,0,156,0,0,High,"Monthly release and testing across tools."
WL-035,SW-010,Small Tools Bundle,Reporting,BAU,12,4,0,2,0,3,48,0,24,0,36,Medium,"Service reporting."
WL-036,SW-010,Small Tools Bundle,Contract management,BAU,10,1,0,0,0,5,10,0,0,0,50,Medium,"Vendor agreement and contract effort."
WL-037,SW-010,Small Tools Bundle,Team training,BAU,12,3,0,1,0,0,36,0,12,0,0,Medium,"Cross-training on supported tools."
WL-038,SW-010,Small Tools Bundle,Other,On hold,5,4,0,1,0,2,20,0,5,0,10,Low,"Deferred service improvement work."
