template_id,category,task_name,default_hours,suggested_work_type,default_priority,default_confidence,description,source_label
TTL-001-teaching_staff_workshop_,Core activities,Teaching staff workshop design (F2F Basic) on using elearning systems,57.0,User training,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-002-teaching_staff_workshops,Core activities,Teaching staff workshops design (F2F Intermediate) on using elearning systems,116.0,User training,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-003-teaching_staff_workshops,Core activities,Teaching staff workshops design (F2F Advance) on using elearning systems,167.0,User training,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-004-teaching_staff_workshops,Core activities,Teaching staff workshops design (Self-paced Intermediate) on using eLearning system,154.0,User training,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-005-teaching_staff_workshops,Core activities,Teaching staff workshops design (Self-paced Advanced) on using eLearning system,239.0,User training,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-006-teaching_staff_workshop_,Core activities,Teaching staff workshop update (F2F),35.0,User training,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-007-teaching_staff_workshop_,Core activities,Teaching staff workshop update (Self-paced),77.0,User training,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-008-workshop_scheduling_jan_,Core activities,Workshop scheduling (Jan-Feb /R2Teach & R2Tutor (2) / June July / Nov-Dec / LD Summer),25.0,User training,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-009-elearning_professional_d,Core activities,eLearning Professional Development Workshop Delivery (x2 delivery time),4.0,User training,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-010-consultations_with_elear,Core activities,Consultations with eLearning Advisers (no exams no new project tools),2.0,Helpdesk support,Medium,High,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-011-guide_update_staff,Core activities,Guide update staff,2.0,Documentation,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-012-guide_update_students,Core activities,Guide update students,2.0,Documentation,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-013-new_guide_staff,Core activities,New guide staff,6.0,Documentation,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-014-new_guide_students,Core activities,New guide students,5.0,Documentation,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-015-new_guide_external_asses,Core activities,New guide external assessors,5.0,Documentation,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-016-tool_guide_set_staff_cur,Core activities,Tool guide set staff (curated basic),27.0,Documentation,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-017-tool_guide_set_staff_cur,Core activities,Tool guide set staff (curated intermediate),52.0,Documentation,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-018-tool_guide_set_staff_no_,Core activities,Tool guide set staff (no curation basic),53.0,Documentation,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-019-tool_guide_set_staff_no_,Core activities,Tool guide set staff (no curation intermediate),91.0,Documentation,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-020-tool_guide_set_students,Core activities,Tool guide set students,30.0,Documentation,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-021-instructional_video,Core activities,Instructional video,7.0,Documentation,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-022-video_case_study,Core activities,Video case study,7.0,Documentation,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-023-newsletter_article_one_o,Core activities,Newsletter article (one off),2.0,Communications,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-024-newsletter_article_new_c,Core activities,Newsletter article (new common article),3.0,Communications,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-025-impact_messages,Core activities,Impact Messages,2.0,Communications,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-026-subject_matter_expert_ad,Core activities,Subject Matter Expert Advice Support Units (per question),1.0,Consultation,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-027-tool_presentation_develo,Core activities,Tool presentation development,5.0,Other,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-028-tool_presentation_delive,Core activities,Tool presentation delivery (repeats),2.0,User training,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-029-teaching_and_elearning_n,Core activities,Teaching and eLearning Newsletters,10.0,Communications,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-030-adhoc_issue_comms,Core activities,Adhoc issue comms,4.0,Communications,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-031-bau_tool_update_release_,Core activities,BAU tool update release testing and comms,2.0,Internal configuration,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-032-change_management_pack_s,Core activities,Change management pack significant BAU tool update,15.0,Communications,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-033-elof_organisation,Core activities,ELOF organisation,7.5,Governance,Medium,Medium,Sanitised planning estimate from Core activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-034-learn_uq_exams_qa_1000_f,Exam support,Learn.UQ Exams: QA (1000) First check and comms,279.0,Helpdesk support,Medium,Medium,Sanitised planning estimate from Exam support. Review and adjust for local context.,Sanitised task time estimate library
TTL-035-inspera_exams_qa_1000_fi,Exam support,Inspera Exams: QA (1000) First check and comms - Inspera,122.0,Helpdesk support,Medium,Medium,Sanitised planning estimate from Exam support. Review and adjust for local context.,Sanitised task time estimate library
TTL-036-workshops_elearning_prof,Services,Workshops - eLearning Professional Development,233.0,User training,Medium,Medium,Sanitised planning estimate from Services. Review and adjust for local context.,Sanitised task time estimate library
TTL-037-guides_online_for_staff_,Services,Guides - Online for staff and students,465.0,Documentation,Medium,Medium,Sanitised planning estimate from Services. Review and adjust for local context.,Sanitised task time estimate library
TTL-038-core_service_consultatio,Services,Core Service: Consultations with eLearning Advisers (no exams no new project tools),0.0,Helpdesk support,Medium,Medium,Sanitised planning estimate from Services. Review and adjust for local context.,Sanitised task time estimate library
TTL-039-core_service_bau_tools_u,Services,Core Service: BAU Tools updates testing: 13 systems 12 times per year,156.0,Internal configuration,Medium,Medium,Sanitised planning estimate from Services. Review and adjust for local context.,Sanitised task time estimate library
TTL-040-core_service_subject_mat,Services,Core Service: Subject Matter Expert Advice for Support Units (Learning Designers; ITS;Library; other teams such as acedemic integrity; Examinations; ITS etc) calculated at 5hours/week for 46 weeks,230.0,Helpdesk support,Medium,Medium,Sanitised planning estimate from Services. Review and adjust for local context.,Sanitised task time estimate library
TTL-041-core_service_change_mana,Services,"Core Service: Change Management for BAU tools Newsletters, impact messages, ELOF, video case studies, tool updates",67.0,Documentation,Medium,Medium,Sanitised planning estimate from Services. Review and adjust for local context.,Sanitised task time estimate library
TTL-042-change_management_pack_f,Project activities,Change management pack for LDs,22.0,Communications,Medium,Medium,Sanitised planning estimate from Project activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-043-change_management_pack_f,Project activities,Change management pack for Staff (to support external assessors),22.0,Communications,Medium,Medium,Sanitised planning estimate from Project activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-044-pilot_report,Project activities,Pilot Report,21.0,Reporting,Medium,Medium,Sanitised planning estimate from Project activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-045-business_case,Project activities,Business Case,21.0,Reporting,Medium,Medium,Sanitised planning estimate from Project activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-046-project_closure_report,Project activities,Project Closure Report,21.0,Reporting,Medium,Medium,Sanitised planning estimate from Project activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-047-legal_post_successful_pi,Project activities,Legal (post successful pilot),14.0,Legal/finance,Medium,Medium,Sanitised planning estimate from Project activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-048-finance_new_tool_licence,Project activities,Finance (new tool licence),7.0,Legal/finance,Medium,Medium,Sanitised planning estimate from Project activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-049-procurement_managed_by_i,Project activities,Procurement (managed by ITS),55.0,Procurement,Medium,High,Sanitised planning estimate from Project activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-050-procurement_led_by_elear,Project activities,Procurement (led by eLearning in collaboration with ITS),55.0,Procurement,Medium,High,Sanitised planning estimate from Project activities. Review and adjust for local context.,Sanitised task time estimate library
TTL-051-procurement_post_success,Project activities,Procurement (post successful pilot),18.0,Procurement,Medium,Medium,Sanitised planning estimate from Project activities. Review and adjust for local context.,Sanitised task time estimate library
